Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS
01SEP2022 00:58:26  Obuhvat2D	Cell #	     30491	   64.97	   0.023	21
01SEP2022 00:58:45  Obuhvat2D	Cell #	     30491	   64.99	   0.015	21

01SEP2022 00:59:04  Obuhvat2D	Cell #	     30970	   65.81	   0.027	21
01SEP2022 00:59:23  Obuhvat2D	Cell #	     30491	   65.00	   0.025	20
01SEP2022 00:59:41  Obuhvat2D	Cell #	     30491	   64.98	   0.017	20
01SEP2022 01:00:00  Obuhvat2D	Cell #	     31121	   64.14	   0.045	21

01SEP2022 01:00:19  Obuhvat2D	Cell #	     30491	   65.02	   0.049	20
01SEP2022 01:00:38  Obuhvat2D	Cell #	     30491	   64.99	   0.012	20
01SEP2022 01:00:56  Obuhvat2D	Cell #	     30731	   65.57	   0.003	20
01SEP2022 01:01:15  Obuhvat2D	Cell #	     30731	   65.57	   0.004	20

01SEP2022 01:01:34  Obuhvat2D	Cell #	     30731	   65.56	   0.004	20
01SEP2022 01:01:53  Obuhvat2D	Cell #	     30731	   65.56	   0.004	20
01SEP2022 01:02:11  Obuhvat2D	Cell #	     30731	   65.57	   0.005	20
01SEP2022 01:02:30  Obuhvat2D	Cell #	     30731	   65.57	   0.010	20

01SEP2022 01:02:49  Obuhvat2D	Cell #	     30731	   65.57	   0.008	20
01SEP2022 01:03:08  Obuhvat2D	Cell #	     30731	   65.58	   0.012	20
01SEP2022 01:03:26  Obuhvat2D	Cell #	     30731	   65.57	   0.018	21
01SEP2022 01:03:45  Obuhvat2D	Cell #	     30731	   65.58	   0.020	20

01SEP2022 01:04:04  Obuhvat2D	Cell #	     30970	   65.85	   0.022	21
01SEP2022 01:04:23  Obuhvat2D	Cell #	     30731	   65.58	   0.016	20
01SEP2022 01:04:41  Obuhvat2D	Cell #	     30731	   65.58	   0.010	21
01SEP2022 01:05:00  Obuhvat2D	Cell #	     32062	   64.14	   0.004	20

01SEP2022 01:05:19  Obuhvat2D	Cell #	     32062	   64.14	   0.018	20
01SEP2022 01:05:38  Obuhvat2D	Cell #	     32062	   64.14	   0.050	20
01SEP2022 01:05:56  Obuhvat2D	Cell #	     30731	   65.58	   0.005	20
01SEP2022 01:06:15  Obuhvat2D	Cell #	     30731	   65.58	   0.005	20

01SEP2022 01:06:34  Obuhvat2D	Cell #	     30731	   65.58	   0.008	20
01SEP2022 01:06:53  Obuhvat2D	Cell #	     30731	   65.58	   0.005	20
01SEP2022 01:07:11  Obuhvat2D	Cell #	     30731	   65.58	   0.004	20
01SEP2022 01:07:30  Obuhvat2D	Cell #	     30170	   64.51	   0.004	20

01SEP2022 01:07:49  Obuhvat2D	Cell #	     30731	   65.58	   0.004	20
01SEP2022 01:08:26  Obuhvat2D	Cell #	     30970	   65.84	   0.004	20
01SEP2022 01:08:45  Obuhvat2D	Cell #	     30731	   65.59	   0.004	20
01SEP2022 01:15:56  Obuhvat2D	Cell #	     29930	   64.28	   0.013	20

01SEP2022 01:16:34  Obuhvat2D	Cell #	     29930	   64.32	   0.037	22
01SEP2022 01:19:23  Obuhvat2D	Cell #	     30535	   64.68	   0.006	20
01SEP2022 01:20:19  Obuhvat2D	Cell #	     30420	   64.23	   0.008	20
01SEP2022 01:20:56  Obuhvat2D	Cell #	     30539	   64.62	   0.012	20

01SEP2022 01:21:15  Obuhvat2D	Cell #	     31603	   64.60	   0.007	20
01SEP2022 01:21:34  Obuhvat2D	Cell #	     31365	   64.77	   0.008	20
01SEP2022 01:21:53  Obuhvat2D	Cell #	     31365	   64.78	   0.022	21
01SEP2022 01:22:30  Obuhvat2D	Cell #	     30422	   64.05	   0.024	21

01SEP2022 01:22:49  Obuhvat2D	Cell #	     30420	   64.35	   0.026	21
01SEP2022 01:23:08  Obuhvat2D	Cell #	     30415	   64.83	   0.015	20
01SEP2022 01:23:07       timestep =              9.375      (sec)
01SEP2022 01:23:36  Obuhvat2D	Cell #	     31368	   64.38	   0.004	20
01SEP2022 01:23:45  Obuhvat2D	Cell #	     30897	   63.90	   0.003	20

01SEP2022 01:24:04  Obuhvat2D	Cell #	     31368	   64.41	   0.008	20
01SEP2022 01:24:13  Obuhvat2D	Cell #	     29934	   64.07	   0.024	20
01SEP2022 01:24:23  Obuhvat2D	Cell #	     31368	   64.44	   0.015	21
01SEP2022 01:24:32  Obuhvat2D	Cell #	     31368	   64.42	   0.027	20

01SEP2022 01:24:41  Obuhvat2D	Cell #	     31131	   64.53	   0.030	20
01SEP2022 01:24:51  Obuhvat2D	Cell #	     31131	   64.54	   0.034	21
01SEP2022 01:25:00  Obuhvat2D	Cell #	     30181	   64.13	   0.034	21
01SEP2022 01:25:09  Obuhvat2D	Cell #	     31131	   64.53	   0.014	20
01SEP2022 01:28:26       timestep =            18.75        (sec)

01SEP2022 01:30:19  Obuhvat2D	Cell #	     31371	   64.13	   0.058	21
01SEP2022 01:34:04  Obuhvat2D	Cell #	     30970	   65.91	   0.004	20
01SEP2022 01:34:23  Obuhvat2D	Cell #	     30970	   65.91	   0.008	20
01SEP2022 01:34:41  Obuhvat2D	Cell #	     30970	   65.91	   0.022	20

