Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS
01SEP2022 15:58:31  Obuhvat2D	Cell #	     29634	   70.20	   0.212	21
01SEP2022 15:58:36  Obuhvat2D	Cell #	     29634	   70.23	   0.164	20
01SEP2022 15:58:40  Obuhvat2D	Cell #	     29634	   70.34	   0.117	20

01SEP2022 15:58:45  Obuhvat2D	Cell #	     29634	   70.18	   0.096	21
01SEP2022 15:58:50  Obuhvat2D	Cell #	     29634	   70.21	   0.202	20
01SEP2022 15:58:54  Obuhvat2D	Cell #	     29636	   70.22	   0.203	22
01SEP2022 15:58:59  Obuhvat2D	Cell #	     29636	   70.43	   0.099	20

01SEP2022 15:59:04  Obuhvat2D	Cell #	     29636	   70.45	   0.230	20
01SEP2022 15:59:09  Obuhvat2D	Cell #	     29636	   70.18	   0.268	21
01SEP2022 15:59:13  Obuhvat2D	Cell #	     29634	   70.28	   0.122	21
01SEP2022 15:59:18  Obuhvat2D	Cell #	     29636	   70.34	   0.022	20

01SEP2022 15:59:23  Obuhvat2D	Cell #	     29636	   70.34	   0.026	20
01SEP2022 15:59:27  Obuhvat2D	Cell #	     29636	   70.37	   0.024	20
01SEP2022 15:59:32  Obuhvat2D	Cell #	     29636	   70.33	   0.044	20
01SEP2022 15:59:37  Obuhvat2D	Cell #	     29636	   70.40	   0.071	20

01SEP2022 15:59:41  Obuhvat2D	Cell #	     29636	   70.28	   0.121	20
01SEP2022 15:59:46  Obuhvat2D	Cell #	     29634	   70.12	   0.208	21
01SEP2022 15:59:51  Obuhvat2D	Cell #	     29636	   70.47	   0.278	20
01SEP2022 15:59:55  Obuhvat2D	Cell #	     29634	   70.26	   0.015	22

01SEP2022 16:00:00  Obuhvat2D	Cell #	     29634	   70.26	   0.015	20
01SEP2022 16:00:05  Obuhvat2D	Cell #	     29636	   70.37	   0.026	20
01SEP2022 16:00:09  Obuhvat2D	Cell #	     29636	   70.33	   0.036	20
01SEP2022 16:00:14  Obuhvat2D	Cell #	     29636	   70.40	   0.069	21

01SEP2022 16:00:19  Obuhvat2D	Cell #	     29634	   70.38	   0.163	22
01SEP2022 16:00:24  Obuhvat2D	Cell #	     29636	   70.44	   0.119	20
01SEP2022 16:00:28  Obuhvat2D	Cell #	     29636	   70.46	   0.253	21
01SEP2022 16:00:33  Obuhvat2D	Cell #	     29636	   70.17	   0.295	21

01SEP2022 16:00:38  Obuhvat2D	Cell #	     29634	   70.27	   0.128	21
01SEP2022 16:00:42  Obuhvat2D	Cell #	     29636	   70.31	   0.071	20
01SEP2022 16:00:47  Obuhvat2D	Cell #	     29636	   70.41	   0.084	20
01SEP2022 16:00:52  Obuhvat2D	Cell #	     29636	   70.26	   0.152	20

01SEP2022 16:00:56  Obuhvat2D	Cell #	     29636	   70.39	   0.020	20
01SEP2022 16:01:01  Obuhvat2D	Cell #	     29636	   70.29	   0.107	20
01SEP2022 16:01:06  Obuhvat2D	Cell #	     29634	   70.34	   0.113	21
01SEP2022 16:01:10  Obuhvat2D	Cell #	     29634	   70.15	   0.183	20

01SEP2022 16:01:15  Obuhvat2D	Cell #	     29634	   70.24	   0.169	21
01SEP2022 16:01:20  Obuhvat2D	Cell #	     29634	   70.24	   0.065	20
01SEP2022 16:01:24  Obuhvat2D	Cell #	     29634	   70.29	   0.032	20
01SEP2022 16:01:29  Obuhvat2D	Cell #	     29634	   70.20	   0.095	20

01SEP2022 16:01:34  Obuhvat2D	Cell #	     29634	   70.42	   0.220	20
01SEP2022 16:01:39  Obuhvat2D	Cell #	     29636	   70.39	   0.047	20
01SEP2022 16:01:43  Obuhvat2D	Cell #	     29636	   70.40	   0.111	20
01SEP2022 16:01:48  Obuhvat2D	Cell #	     29636	   70.23	   0.184	22

01SEP2022 16:01:53  Obuhvat2D	Cell #	     29634	   70.26	   0.136	21
01SEP2022 16:01:57  Obuhvat2D	Cell #	     29636	   70.37	   0.007	20
01SEP2022 16:02:02  Obuhvat2D	Cell #	     29636	   70.33	   0.035	20
01SEP2022 16:02:07  Obuhvat2D	Cell #	     29636	   70.39	   0.053	20

01SEP2022 16:02:11  Obuhvat2D	Cell #	     29634	   70.29	   0.086	20
01SEP2022 16:02:16  Obuhvat2D	Cell #	     29634	   70.20	   0.096	21
01SEP2022 16:02:21  Obuhvat2D	Cell #	     29634	   70.42	   0.226	20
01SEP2022 16:02:25  Obuhvat2D	Cell #	     29636	   70.46	   0.242	21

01SEP2022 16:02:30  Obuhvat2D	Cell #	     29636	   70.17	   0.286	20
01SEP2022 16:02:35  Obuhvat2D	Cell #	     29634	   70.25	   0.032	22
01SEP2022 16:02:39  Obuhvat2D	Cell #	     29636	   70.30	   0.084	20
01SEP2022 16:02:44  Obuhvat2D	Cell #	     29636	   70.31	   0.118	20

01SEP2022 16:02:49  Obuhvat2D	Cell #	     29634	   70.17	   0.132	20
01SEP2022 16:02:54  Obuhvat2D	Cell #	     29636	   70.45	   0.234	20
01SEP2022 16:02:58  Obuhvat2D	Cell #	     29636	   70.19	   0.268	20
01SEP2022 16:03:03  Obuhvat2D	Cell #	     29634	   70.21	   0.040	20

01SEP2022 16:03:08  Obuhvat2D	Cell #	     29634	   70.40	   0.187	21
01SEP2022 16:03:12  Obuhvat2D	Cell #	     29636	   70.33	   0.077	20
01SEP2022 16:03:17  Obuhvat2D	Cell #	     29634	   70.42	   0.223	21
01SEP2022 16:03:22  Obuhvat2D	Cell #	     29636	   70.26	   0.153	21

01SEP2022 16:03:26  Obuhvat2D	Cell #	     29634	   70.25	   0.161	21
01SEP2022 16:03:31  Obuhvat2D	Cell #	     29634	   70.28	   0.008	20
01SEP2022 16:03:36  Obuhvat2D	Cell #	     29634	   70.22	   0.056	20
01SEP2022 16:03:40  Obuhvat2D	Cell #	     29634	   70.36	   0.137	20

01SEP2022 16:03:45  Obuhvat2D	Cell #	     29634	   70.07	   0.292	20
01SEP2022 16:03:50  Obuhvat2D	Cell #	     29634	   70.40	   0.083	21
01SEP2022 16:03:54  Obuhvat2D	Cell #	     29636	   70.43	   0.171	20
01SEP2022 16:03:59  Obuhvat2D	Cell #	     29636	   70.21	   0.211	22

01SEP2022 16:04:04  Obuhvat2D	Cell #	     29634	   70.34	   0.112	21
01SEP2022 16:04:09  Obuhvat2D	Cell #	     29634	   70.10	   0.243	20
01SEP2022 16:04:13  Obuhvat2D	Cell #	     29634	   70.30	   0.091	21
01SEP2022 16:04:18  Obuhvat2D	Cell #	     29636	   70.37	   0.017	20

01SEP2022 16:04:23  Obuhvat2D	Cell #	     29634	   70.29	   0.042	20
01SEP2022 16:04:27  Obuhvat2D	Cell #	     29634	   70.21	   0.075	20
01SEP2022 16:04:32  Obuhvat2D	Cell #	     29634	   70.39	   0.179	20
01SEP2022 16:04:37  Obuhvat2D	Cell #	     29636	   70.35	   0.055	20

01SEP2022 16:04:41  Obuhvat2D	Cell #	     29634	   70.42	   0.218	21
01SEP2022 16:04:46  Obuhvat2D	Cell #	     29636	   70.34	   0.021	21
01SEP2022 16:04:51  Obuhvat2D	Cell #	     29634	   70.39	   0.031	20
01SEP2022 16:04:55  Obuhvat2D	Cell #	     29636	   70.37	   0.036	20

01SEP2022 16:05:00  Obuhvat2D	Cell #	     29634	   70.39	   0.167	20
01SEP2022 16:05:05  Obuhvat2D	Cell #	     29636	   70.40	   0.076	20
01SEP2022 16:05:09  Obuhvat2D	Cell #	     29636	   70.43	   0.167	22
01SEP2022 16:05:14  Obuhvat2D	Cell #	     29636	   70.25	   0.160	20

01SEP2022 16:05:19  Obuhvat2D	Cell #	     29634	   70.41	   0.223	21
01SEP2022 16:05:24  Obuhvat2D	Cell #	     29636	   70.40	   0.118	20
01SEP2022 16:05:28  Obuhvat2D	Cell #	     29636	   70.26	   0.142	20
01SEP2022 16:05:33  Obuhvat2D	Cell #	     29634	   70.09	   0.239	21

01SEP2022 16:05:38  Obuhvat2D	Cell #	     29634	   70.39	   0.298	20
01SEP2022 16:05:42  Obuhvat2D	Cell #	     29634	   70.20	   0.004	20
01SEP2022 16:05:47  Obuhvat2D	Cell #	     29634	   70.41	   0.211	21
01SEP2022 16:05:52  Obuhvat2D	Cell #	     29636	   70.33	   0.069	20

01SEP2022 16:05:56  Obuhvat2D	Cell #	     29634	   70.19	   0.234	21
01SEP2022 16:06:01  Obuhvat2D	Cell #	     29634	   70.40	   0.169	21
01SEP2022 16:06:06  Obuhvat2D	Cell #	     29636	   70.34	   0.034	20
01SEP2022 16:06:10  Obuhvat2D	Cell #	     29634	   70.41	   0.202	21

01SEP2022 16:06:15  Obuhvat2D	Cell #	     29636	   70.31	   0.079	21
01SEP2022 16:06:20  Obuhvat2D	Cell #	     29634	   70.42	   0.192	22
01SEP2022 16:06:24  Obuhvat2D	Cell #	     29636	   70.43	   0.185	20
01SEP2022 16:06:29  Obuhvat2D	Cell #	     29636	   70.22	   0.216	21

01SEP2022 16:06:34  Obuhvat2D	Cell #	     29636	   70.35	   0.084	21
01SEP2022 16:06:39  Obuhvat2D	Cell #	     29634	   70.35	   0.123	20
01SEP2022 16:06:43  Obuhvat2D	Cell #	     29634	   70.08	   0.271	22
01SEP2022 16:06:48  Obuhvat2D	Cell #	     29634	   70.33	   0.064	21

01SEP2022 16:06:53  Obuhvat2D	Cell #	     29636	   70.38	   0.066	20
01SEP2022 16:06:57  Obuhvat2D	Cell #	     29636	   70.31	   0.074	21
01SEP2022 16:07:02  Obuhvat2D	Cell #	     29634	   70.28	   0.030	20
01SEP2022 16:07:07  Obuhvat2D	Cell #	     29636	   70.30	   0.084	20

01SEP2022 16:07:11  Obuhvat2D	Cell #	     29636	   70.43	   0.131	21
01SEP2022 16:07:16  Obuhvat2D	Cell #	     29634	   70.13	   0.224	20
01SEP2022 16:07:21  Obuhvat2D	Cell #	     29634	   70.27	   0.139	20
01SEP2022 16:07:25  Obuhvat2D	Cell #	     29634	   70.25	   0.023	20

01SEP2022 16:07:30  Obuhvat2D	Cell #	     29634	   70.29	   0.042	20
01SEP2022 16:07:35  Obuhvat2D	Cell #	     29634	   70.23	   0.053	20
01SEP2022 16:07:39  Obuhvat2D	Cell #	     29634	   70.35	   0.129	21
01SEP2022 16:07:44  Obuhvat2D	Cell #	     29634	   70.08	   0.276	20

01SEP2022 16:07:49  Obuhvat2D	Cell #	     29636	   70.46	   0.255	21
01SEP2022 16:07:54  Obuhvat2D	Cell #	     29636	   70.17	   0.296	21
01SEP2022 16:07:58  Obuhvat2D	Cell #	     29634	   70.26	   0.140	21
01SEP2022 16:08:03  Obuhvat2D	Cell #	     29636	   70.31	   0.071	20

01SEP2022 16:08:08  Obuhvat2D	Cell #	     29636	   70.41	   0.091	20
01SEP2022 16:08:12  Obuhvat2D	Cell #	     29636	   70.25	   0.163	21
01SEP2022 16:08:17  Obuhvat2D	Cell #	     29634	   70.19	   0.110	21
01SEP2022 16:08:22  Obuhvat2D	Cell #	     29634	   70.41	   0.225	21

01SEP2022 16:08:26  Obuhvat2D	Cell #	     29636	   70.40	   0.020	20
01SEP2022 16:08:31  Obuhvat2D	Cell #	     29636	   70.42	   0.153	20
01SEP2022 16:08:36  Obuhvat2D	Cell #	     29636	   70.44	   0.209	20
01SEP2022 16:08:40  Obuhvat2D	Cell #	     29636	   70.23	   0.214	20

01SEP2022 16:08:45  Obuhvat2D	Cell #	     29634	   70.41	   0.151	21
01SEP2022 16:08:50  Obuhvat2D	Cell #	     29636	   70.44	   0.199	21
01SEP2022 16:08:54  Obuhvat2D	Cell #	     29636	   70.19	   0.250	20
01SEP2022 16:08:59  Obuhvat2D	Cell #	     29634	   70.22	   0.109	21

01SEP2022 16:09:04  Obuhvat2D	Cell #	     29634	   70.39	   0.178	21
01SEP2022 16:09:09  Obuhvat2D	Cell #	     29636	   70.31	   0.116	20
01SEP2022 16:09:13  Obuhvat2D	Cell #	     29636	   70.31	   0.122	20
01SEP2022 16:09:18  Obuhvat2D	Cell #	     29634	   70.41	   0.199	21

01SEP2022 16:09:23  Obuhvat2D	Cell #	     29636	   70.38	   0.061	20
01SEP2022 16:09:27  Obuhvat2D	Cell #	     29634	   70.39	   0.165	21
01SEP2022 16:09:32  Obuhvat2D	Cell #	     29636	   70.42	   0.099	20
01SEP2022 16:09:37  Obuhvat2D	Cell #	     29636	   70.44	   0.213	21

01SEP2022 16:09:41  Obuhvat2D	Cell #	     29634	   70.11	   0.262	20
01SEP2022 16:09:46  Obuhvat2D	Cell #	     29634	   70.29	   0.100	21
01SEP2022 16:09:51  Obuhvat2D	Cell #	     29636	   70.33	   0.049	20
01SEP2022 16:09:55  Obuhvat2D	Cell #	     29636	   70.34	   0.053	20

01SEP2022 16:10:00  Obuhvat2D	Cell #	     29634	   70.31	   0.070	20
01SEP2022 16:10:05  Obuhvat2D	Cell #	     29634	   70.19	   0.107	21
01SEP2022 16:10:09  Obuhvat2D	Cell #	     29634	   70.20	   0.210	21
01SEP2022 16:10:14  Obuhvat2D	Cell #	     29634	   70.38	   0.151	20

01SEP2022 16:10:19  Obuhvat2D	Cell #	     29636	   70.33	   0.048	20
01SEP2022 16:10:24  Obuhvat2D	Cell #	     29634	   70.37	   0.147	21
01SEP2022 16:10:28  Obuhvat2D	Cell #	     29636	   70.29	   0.102	20
01SEP2022 16:10:33  Obuhvat2D	Cell #	     29634	   70.33	   0.074	21

01SEP2022 16:10:38  Obuhvat2D	Cell #	     29636	   70.31	   0.104	20
01SEP2022 16:10:42  Obuhvat2D	Cell #	     29634	   70.20	   0.089	21
01SEP2022 16:10:47  Obuhvat2D	Cell #	     29634	   70.41	   0.205	21
01SEP2022 16:10:52  Obuhvat2D	Cell #	     29636	   70.41	   0.039	21

01SEP2022 16:10:56  Obuhvat2D	Cell #	     29636	   70.42	   0.167	22
01SEP2022 16:11:01  Obuhvat2D	Cell #	     29636	   70.23	   0.198	20
01SEP2022 16:11:06  Obuhvat2D	Cell #	     29634	   70.24	   0.170	21
01SEP2022 16:11:10  Obuhvat2D	Cell #	     29634	   70.29	   0.014	20

01SEP2022 16:11:15  Obuhvat2D	Cell #	     29634	   70.21	   0.080	20
01SEP2022 16:11:20  Obuhvat2D	Cell #	     29634	   70.40	   0.197	21
01SEP2022 16:11:24  Obuhvat2D	Cell #	     29636	   70.36	   0.022	20
01SEP2022 16:11:29  Obuhvat2D	Cell #	     29634	   70.42	   0.211	21

01SEP2022 16:11:34  Obuhvat2D	Cell #	     29636	   70.31	   0.091	20
01SEP2022 16:11:39  Obuhvat2D	Cell #	     29634	   70.34	   0.106	21
01SEP2022 16:11:43  Obuhvat2D	Cell #	     29634	   70.15	   0.187	20
01SEP2022 16:11:48  Obuhvat2D	Cell #	     29634	   70.24	   0.171	21

01SEP2022 16:11:53  Obuhvat2D	Cell #	     29634	   70.29	   0.011	20
01SEP2022 16:11:57  Obuhvat2D	Cell #	     29634	   70.21	   0.075	20
01SEP2022 16:12:02  Obuhvat2D	Cell #	     29634	   70.40	   0.186	21
01SEP2022 16:12:07  Obuhvat2D	Cell #	     29634	   70.20	   0.007	20

01SEP2022 16:12:11  Obuhvat2D	Cell #	     29634	   70.42	   0.219	21
01SEP2022 16:12:16  Obuhvat2D	Cell #	     29634	   70.21	   0.056	20
01SEP2022 16:12:21  Obuhvat2D	Cell #	     29634	   70.40	   0.184	21
01SEP2022 16:12:25  Obuhvat2D	Cell #	     29636	   70.41	   0.129	21

01SEP2022 16:12:30  Obuhvat2D	Cell #	     29636	   70.25	   0.155	21
01SEP2022 16:12:35  Obuhvat2D	Cell #	     29636	   70.46	   0.207	21
01SEP2022 16:12:39  Obuhvat2D	Cell #	     29636	   70.16	   0.296	20
01SEP2022 16:12:44  Obuhvat2D	Cell #	     29634	   70.20	   0.003	20

01SEP2022 16:12:49  Obuhvat2D	Cell #	     29634	   70.42	   0.227	21
01SEP2022 16:12:54  Obuhvat2D	Cell #	     29636	   70.33	   0.070	20
01SEP2022 16:12:58  Obuhvat2D	Cell #	     29634	   70.19	   0.230	21
01SEP2022 16:13:03  Obuhvat2D	Cell #	     29634	   70.40	   0.172	21

01SEP2022 16:13:08  Obuhvat2D	Cell #	     29636	   70.34	   0.032	20
01SEP2022 16:13:12  Obuhvat2D	Cell #	     29634	   70.41	   0.200	21
01SEP2022 16:13:17  Obuhvat2D	Cell #	     29634	   70.16	   0.078	21
01SEP2022 16:13:22  Obuhvat2D	Cell #	     29634	   70.42	   0.192	22

01SEP2022 16:13:26  Obuhvat2D	Cell #	     29636	   70.43	   0.172	20
01SEP2022 16:13:31  Obuhvat2D	Cell #	     29636	   70.22	   0.202	21
01SEP2022 16:13:36  Obuhvat2D	Cell #	     29634	   70.24	   0.083	20
01SEP2022 16:13:40  Obuhvat2D	Cell #	     29634	   70.33	   0.097	20

01SEP2022 16:13:45  Obuhvat2D	Cell #	     29634	   70.29	   0.120	21
01SEP2022 16:13:50  Obuhvat2D	Cell #	     29636	   70.30	   0.134	20
01SEP2022 16:13:54  Obuhvat2D	Cell #	     29634	   70.12	   0.193	21
01SEP2022 16:13:59  Obuhvat2D	Cell #	     29636	   70.46	   0.262	22

01SEP2022 16:14:04  Obuhvat2D	Cell #	     29635	   70.17	   0.024	23
01SEP2022 16:14:09  Obuhvat2D	Cell #	     29634	   70.25	   0.031	20
01SEP2022 16:14:13  Obuhvat2D	Cell #	     29634	   70.25	   0.047	20
01SEP2022 16:14:18  Obuhvat2D	Cell #	     29636	   70.31	   0.062	20

01SEP2022 16:14:23  Obuhvat2D	Cell #	     29634	   70.17	   0.137	20
01SEP2022 16:14:27  Obuhvat2D	Cell #	     29636	   70.46	   0.253	20
01SEP2022 16:14:32  Obuhvat2D	Cell #	     29634	   70.32	   0.067	23
01SEP2022 16:14:37  Obuhvat2D	Cell #	     29634	   70.33	   0.184	20

01SEP2022 16:14:41  Obuhvat2D	Cell #	     29634	   70.10	   0.236	20
01SEP2022 16:14:46  Obuhvat2D	Cell #	     29634	   70.30	   0.093	21
01SEP2022 16:14:51  Obuhvat2D	Cell #	     29636	   70.38	   0.041	20
01SEP2022 16:14:55  Obuhvat2D	Cell #	     29636	   70.31	   0.076	20

01SEP2022 16:15:00  Obuhvat2D	Cell #	     29634	   70.19	   0.102	20
01SEP2022 16:15:05  Obuhvat2D	Cell #	     29634	   70.21	   0.220	20
01SEP2022 16:15:09  Obuhvat2D	Cell #	     29636	   70.19	   0.251	21
01SEP2022 16:15:14  Obuhvat2D	Cell #	     29634	   70.20	   0.015	20

01SEP2022 16:15:19  Obuhvat2D	Cell #	     29634	   70.43	   0.231	21
01SEP2022 16:15:24  Obuhvat2D	Cell #	     29636	   70.34	   0.071	20
01SEP2022 16:15:28  Obuhvat2D	Cell #	     29634	   70.19	   0.223	21
01SEP2022 16:15:33  Obuhvat2D	Cell #	     29634	   70.40	   0.170	21

01SEP2022 16:15:38  Obuhvat2D	Cell #	     29634	   70.22	   0.057	20
01SEP2022 16:15:42  Obuhvat2D	Cell #	     29634	   70.37	   0.150	21
01SEP2022 16:15:47  Obuhvat2D	Cell #	     29636	   70.28	   0.115	20
01SEP2022 16:15:52  Obuhvat2D	Cell #	     29634	   70.33	   0.075	21

01SEP2022 16:15:56  Obuhvat2D	Cell #	     29634	   70.28	   0.098	20
01SEP2022 16:16:01  Obuhvat2D	Cell #	     29636	   70.33	   0.085	21
01SEP2022 16:16:06  Obuhvat2D	Cell #	     29634	   70.17	   0.125	20
01SEP2022 16:16:10  Obuhvat2D	Cell #	     29634	   70.23	   0.181	22

01SEP2022 16:16:15  Obuhvat2D	Cell #	     29636	   70.22	   0.211	20
01SEP2022 16:16:20  Obuhvat2D	Cell #	     29636	   70.46	   0.238	21
01SEP2022 16:16:24  Obuhvat2D	Cell #	     29636	   70.16	   0.297	20
01SEP2022 16:16:29  Obuhvat2D	Cell #	     29634	   70.20	   0.004	20

01SEP2022 16:16:34  Obuhvat2D	Cell #	     29634	   70.42	   0.227	20
01SEP2022 16:16:39  Obuhvat2D	Cell #	     29636	   70.40	   0.061	21
01SEP2022 16:16:43  Obuhvat2D	Cell #	     29636	   70.41	   0.141	20
01SEP2022 16:16:48  Obuhvat2D	Cell #	     29636	   70.25	   0.166	20

01SEP2022 16:16:53  Obuhvat2D	Cell #	     29634	   70.41	   0.187	21
01SEP2022 16:16:57  Obuhvat2D	Cell #	     29636	   70.44	   0.198	20
01SEP2022 16:17:02  Obuhvat2D	Cell #	     29636	   70.19	   0.247	20
01SEP2022 16:17:07  Obuhvat2D	Cell #	     29634	   70.22	   0.093	21

01SEP2022 16:17:11  Obuhvat2D	Cell #	     29634	   70.36	   0.138	20
01SEP2022 16:17:16  Obuhvat2D	Cell #	     29636	   70.42	   0.108	20
01SEP2022 16:17:21  Obuhvat2D	Cell #	     29636	   70.44	   0.212	20
01SEP2022 16:17:25  Obuhvat2D	Cell #	     29634	   70.13	   0.247	22

01SEP2022 16:17:30  Obuhvat2D	Cell #	     29634	   70.28	   0.122	21
01SEP2022 16:17:39  Obuhvat2D	Cell #	     29636	   70.34	   0.020	20
01SEP2022 16:17:44  Obuhvat2D	Cell #	     29636	   70.37	   0.029	20
01SEP2022 16:17:49  Obuhvat2D	Cell #	     29636	   70.32	   0.048	20

01SEP2022 16:17:54  Obuhvat2D	Cell #	     29636	   70.33	   0.060	21
01SEP2022 16:17:58  Obuhvat2D	Cell #	     29634	   70.31	   0.076	22
01SEP2022 16:18:03  Obuhvat2D	Cell #	     29634	   70.30	   0.113	20
01SEP2022 16:18:08  Obuhvat2D	Cell #	     29636	   70.28	   0.123	20

01SEP2022 16:18:12  Obuhvat2D	Cell #	     29634	   70.19	   0.220	21
01SEP2022 16:18:17  Obuhvat2D	Cell #	     29634	   70.40	   0.165	21
01SEP2022 16:18:22  Obuhvat2D	Cell #	     29636	   70.37	   0.031	20
01SEP2022 16:18:26  Obuhvat2D	Cell #	     29634	   70.20	   0.215	21

01SEP2022 16:18:31  Obuhvat2D	Cell #	     29634	   70.22	   0.189	21
01SEP2022 16:18:36  Obuhvat2D	Cell #	     29636	   70.23	   0.199	20
01SEP2022 16:18:40  Obuhvat2D	Cell #	     29634	   70.21	   0.011	20
01SEP2022 16:18:45  Obuhvat2D	Cell #	     29634	   70.41	   0.201	21

01SEP2022 16:18:50  Obuhvat2D	Cell #	     29636	   70.33	   0.082	20
01SEP2022 16:18:54  Obuhvat2D	Cell #	     29634	   70.19	   0.231	21
01SEP2022 16:18:59  Obuhvat2D	Cell #	     29634	   70.40	   0.169	21
01SEP2022 16:19:04  Obuhvat2D	Cell #	     29634	   70.18	   0.035	20

01SEP2022 16:19:09  Obuhvat2D	Cell #	     29634	   70.21	   0.210	21
01SEP2022 16:19:13  Obuhvat2D	Cell #	     29634	   70.40	   0.192	21
01SEP2022 16:19:18  Obuhvat2D	Cell #	     29634	   70.10	   0.187	20
01SEP2022 16:19:23  Obuhvat2D	Cell #	     29636	   70.42	   0.149	21

01SEP2022 16:19:27  Obuhvat2D	Cell #	     29636	   70.23	   0.182	20
01SEP2022 16:19:32  Obuhvat2D	Cell #	     29634	   70.20	   0.211	20
01SEP2022 16:19:37  Obuhvat2D	Cell #	     29634	   70.41	   0.209	21
01SEP2022 16:19:41  Obuhvat2D	Cell #	     29636	   70.34	   0.068	20

01SEP2022 16:19:46  Obuhvat2D	Cell #	     29634	   70.19	   0.224	21
01SEP2022 16:19:51  Obuhvat2D	Cell #	     29634	   70.40	   0.166	21
01SEP2022 16:19:55  Obuhvat2D	Cell #	     29636	   70.39	   0.067	20
01SEP2022 16:20:00  Obuhvat2D	Cell #	     29634	   70.22	   0.195	20

01SEP2022 16:20:05  Obuhvat2D	Cell #	     29636	   70.21	   0.236	20
01SEP2022 16:20:09  Obuhvat2D	Cell #	     29634	   70.19	   0.005	20
01SEP2022 16:20:14  Obuhvat2D	Cell #	     29634	   70.19	   0.226	21
01SEP2022 16:20:19  Obuhvat2D	Cell #	     29636	   70.23	   0.193	22

01SEP2022 16:20:24  Obuhvat2D	Cell #	     29634	   70.10	   0.175	20
01SEP2022 16:20:28  Obuhvat2D	Cell #	     29636	   70.42	   0.154	21
01SEP2022 16:20:33  Obuhvat2D	Cell #	     29636	   70.23	   0.189	20
01SEP2022 16:20:38  Obuhvat2D	Cell #	     29634	   70.20	   0.207	21

01SEP2022 16:20:42  Obuhvat2D	Cell #	     29634	   70.23	   0.158	20
01SEP2022 16:20:47  Obuhvat2D	Cell #	     29634	   70.23	   0.096	20
01SEP2022 16:20:52  Obuhvat2D	Cell #	     29634	   70.33	   0.093	21
01SEP2022 16:20:56  Obuhvat2D	Cell #	     29634	   70.11	   0.212	20

01SEP2022 16:21:01  Obuhvat2D	Cell #	     29636	   70.43	   0.183	21
01SEP2022 16:21:06  Obuhvat2D	Cell #	     29636	   70.21	   0.219	22
01SEP2022 16:21:10  Obuhvat2D	Cell #	     29636	   70.42	   0.085	20
01SEP2022 16:21:15  Obuhvat2D	Cell #	     29634	   70.13	   0.196	20

01SEP2022 16:21:20  Obuhvat2D	Cell #	     29636	   70.33	   0.132	21
01SEP2022 16:21:24  Obuhvat2D	Cell #	     29636	   70.37	   0.008	20
01SEP2022 16:21:29  Obuhvat2D	Cell #	     29636	   70.33	   0.037	20
01SEP2022 16:21:34  Obuhvat2D	Cell #	     29636	   70.38	   0.048	20

01SEP2022 16:21:39  Obuhvat2D	Cell #	     29634	   70.21	   0.082	20
01SEP2022 16:21:43  Obuhvat2D	Cell #	     29634	   70.41	   0.201	21
01SEP2022 16:21:48  Obuhvat2D	Cell #	     29636	   70.44	   0.205	20
01SEP2022 16:21:53  Obuhvat2D	Cell #	     29636	   70.19	   0.250	20

01SEP2022 16:21:57  Obuhvat2D	Cell #	     29634	   70.21	   0.115	21
01SEP2022 16:22:02  Obuhvat2D	Cell #	     29634	   70.40	   0.189	21
01SEP2022 16:22:07  Obuhvat2D	Cell #	     29636	   70.30	   0.134	20
01SEP2022 16:22:11  Obuhvat2D	Cell #	     29634	   70.42	   0.225	21

01SEP2022 16:22:16  Obuhvat2D	Cell #	     29636	   70.45	   0.239	22
01SEP2022 16:22:21  Obuhvat2D	Cell #	     29636	   70.17	   0.280	20
01SEP2022 16:22:25  Obuhvat2D	Cell #	     29634	   70.24	   0.054	20
01SEP2022 16:22:30  Obuhvat2D	Cell #	     29634	   70.33	   0.095	20

01SEP2022 16:22:35  Obuhvat2D	Cell #	     29636	   70.43	   0.128	20
01SEP2022 16:22:39  Obuhvat2D	Cell #	     29636	   70.45	   0.230	22
01SEP2022 16:22:44  Obuhvat2D	Cell #	     29634	   70.39	   0.165	21
01SEP2022 16:22:49  Obuhvat2D	Cell #	     29634	   70.21	   0.016	20

01SEP2022 16:22:54  Obuhvat2D	Cell #	     29634	   70.41	   0.208	20
01SEP2022 16:22:58  Obuhvat2D	Cell #	     29633	   70.56	   0.018	20
01SEP2022 16:23:03  Obuhvat2D	Cell #	     29635	   70.16	   0.009	20
01SEP2022 16:23:08  Obuhvat2D	Cell #	     29636	   70.38	   0.053	20

